Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-03-02,19:30:00,AL1,1,Augsburg,-,Freiburg,-,2.34,2.79,2.49,1.47,1.97,1.70,1.66,2.33,1.32,2.66,1.23,1.15,1.10,1.17,1.12,1.46,1.14,3.03,1.85,3.18,2.69,2.17,2.81,1.76,1.61,3.83,13.20,33.00,5.47,3.98,5.72,31.50,13.25,4.11,1839
2025-03-02,17:30:00,AL1,1,Union Berlin,-,Holstein Kiel,-,1.41,3.79,4.65,1.92,1.50,1.58,1.81,3.04,1.16,3.82,1.08,,,1.61,0,1.30,1.44,1.87,2.21,4.91,1.75,2.57,4.37,1.71,1.66,2.02,14.90,34.50,4.13,5.80,10.30,21.25,16.55,8.10,1839
2025-03-01,20:30:00,AL1,1,Eintracht Frankfurt,-,Bayer Leverkusen,-,3.99,3.47,1.54,1.94,1.49,1.49,1.94,3.05,1.16,3.94,1.07,1.49,,,1.37,1.30,0,4.31,2.18,2.00,3.82,2.53,1.88,1.73,1.64,6.83,14.60,21.50,9.20,5.46,4.46,34.50,13.30,2.24,1839
2025-03-01,17:30:00,AL1,1,Bochum,-,Hoffenheim,-,2.11,3.19,2.49,2.04,1.44,1.36,2.22,3.12,1.16,4.24,1.05,1.15,1.07,1.23,1.15,1.32,1.21,2.60,2.14,2.97,2.39,2.50,2.70,1.74,1.63,3.27,12.15,26.50,5.65,5.27,6.38,23.85,12.30,3.96,1839
2025-03-01,17:30:00,AL1,1,Heidenheim,-,Mönchengladbach,-,2.59,3.18,2.05,2.01,1.44,1.37,2.19,3.08,1.16,4.16,1.06,1.24,1.07,1.13,1.22,1.32,1.14,3.06,2.14,2.54,2.77,2.49,2.34,1.75,1.63,4.16,12.40,23.40,6.57,5.21,5.50,27.50,12.10,3.16,1839
2025-03-01,17:30:00,AL1,1,RB Leipzig,-,Mainz 05,-,1.72,3.27,3.31,1.81,1.58,1.51,1.91,2.83,1.20,3.57,1.10,1.05,1.05,1.37,1.07,1.35,1.29,2.25,2.07,3.82,2.07,2.44,3.39,1.72,1.65,2.60,13.15,34.50,4.65,5.07,7.66,23.00,14.05,5.60,1839
2025-03-01,17:30:00,AL1,1,St. Pauli,-,Borussia Dortmund,-,3.57,3.31,1.65,1.81,1.58,1.52,1.88,2.84,1.20,3.58,1.10,1.42,1.05,,1.31,1.34,1.05,4.04,2.08,2.16,3.57,2.45,2.00,1.73,1.64,6.10,14.35,22.55,8.16,5.10,4.53,34.50,13.25,2.46,1839
2025-03-01,17:30:00,AL1,1,Werder Bremen,-,Wolfsburg,-,2.31,3.11,2.31,1.96,1.48,1.38,2.15,3.02,1.16,4.03,1.07,1.18,1.08,1.18,1.17,1.34,1.17,2.80,2.11,2.80,2.56,2.46,2.56,1.75,1.62,3.64,12.10,25.50,5.99,5.06,5.98,25.50,12.10,3.63,1839
2025-02-28,22:30:00,AL1,1,Stuttgart,-,Bayern München,-,4.19,3.83,1.45,2.33,1.32,1.37,2.17,3.54,1.10,4.96,,1.57,,,1.44,1.25,0,4.34,2.36,1.87,3.92,2.72,1.77,1.72,1.65,7.05,14.90,19.35,10.05,6.40,4.49,34.50,13.60,2.05,1839
2025-02-23,21:30:00,AL1,1,Hoffenheim,1-1,Stuttgart,0-1,2.98,3.40,1.79,2.23,1.35,1.32,2.32,3.36,1.12,4.74,,1.34,1.05,1.08,1.29,1.30,1.10,3.37,2.24,2.25,3.05,2.61,2.09,1.73,1.64,4.82,12.90,20.95,7.53,5.74,5.13,29.00,12.30,2.66,1838
