Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-04-09,22:00:00,ŞMP,1,Barcelona,-,Borussia Dortmund,-,1.16,5.43,7.44,2.81,1.21,1.48,1.97,4.22,1.06,6.14,,,,2.04,0,1.17,1.77,1.50,2.78,6.48,1.43,3.18,6.01,1.70,1.69,1.54,18.90,35.00,4.14,9.06,17.30,18.65,21.45,13.00,1845
2025-04-09,22:00:00,ŞMP,1,Paris SG,-,Aston Villa,-,1.32,4.19,5.32,2.17,1.39,1.52,1.90,3.40,1.13,4.50,,,,1.73,0,1.25,1.53,1.74,2.38,5.30,1.65,2.75,4.77,1.71,1.67,1.86,15.75,35.00,4.17,6.69,12.15,20.25,17.70,9.33,1845
2025-04-08,22:00:00,ŞMP,1,Arsenal,3-0,Real Madrid,0-0,1.84,3.15,3.12,1.76,1.63,1.52,1.91,2.76,1.22,3.45,1.12,1.07,1.07,1.33,1.08,1.37,1.26,2.38,2.04,3.66,2.18,2.40,3.25,1.75,1.64,2.83,13.00,34.50,4.90,4.88,7.34,24.65,13.75,5.30,1845
2025-04-08,22:00:00,ŞMP,1,Bayern München,1-2,Inter,0-1,1.73,3.20,3.41,1.68,1.71,1.60,1.79,2.65,1.24,3.20,1.15,1.05,1.06,1.38,1.06,1.38,1.28,2.31,2.01,4.00,2.10,2.38,3.51,1.73,1.65,2.67,13.70,35.00,4.59,4.82,7.71,24.65,14.65,5.90,1845
2025-03-12,23:00:00,ŞMP,1,Arsenal,2-2,PSV Eindhoven,2-1,1.39,3.68,5.05,1.68,1.68,1.74,1.63,2.71,1.22,3.19,1.15,,,1.60,0,1.34,1.41,1.93,2.09,5.22,1.79,2.44,4.59,1.70,1.67,2.06,15.70,34.50,3.95,5.27,10.20,23.40,17.55,8.56,1841
2025-03-12,23:00:00,ŞMP,1,Aston Villa,3-0,Club Brugge,0-0,1.55,3.47,3.93,1.90,1.51,1.51,1.91,2.98,1.17,3.82,1.08,,,1.49,0,1.31,1.37,2.03,2.16,4.31,1.89,2.51,3.82,1.72,1.65,2.26,13.55,34.50,4.42,5.41,8.98,21.70,14.85,6.75,1841
2025-03-12,23:00:00,ŞMP,1,Atletico Madrid,1-0,Real Madrid,1-0,2.38,3.07,2.26,1.86,1.54,1.43,2.06,2.88,1.19,3.74,1.09,1.19,1.08,1.16,1.17,1.36,1.16,2.91,2.07,2.78,2.63,2.42,2.53,1.75,1.62,3.80,12.35,26.00,6.01,4.89,5.77,27.00,12.30,3.57,1841
2025-03-12,20:45:00,ŞMP,1,Lille,1-2,Borussia Dortmund,1-0,2.39,2.91,2.35,1.59,1.79,1.58,1.79,2.51,1.27,3.00,1.17,1.17,1.09,1.16,1.15,1.42,1.14,3.01,1.93,2.98,2.70,2.27,2.67,1.75,1.62,3.89,12.90,29.50,5.72,4.31,5.66,30.00,12.85,3.83,1841
2025-03-11,23:00:00,ŞMP,1,Bayer Leverkusen,0-2,Bayern München,0-0,2.52,3.19,2.09,1.89,1.51,1.43,2.06,2.91,1.18,3.79,1.09,1.23,1.07,1.14,1.20,1.35,1.14,3.06,2.07,2.63,2.76,2.45,2.39,1.73,1.64,4.09,12.90,24.30,6.25,5.08,5.41,28.00,12.65,3.27,1841
2025-03-11,23:00:00,ŞMP,1,Inter,2-1,Feyenoord,1-1,1.19,4.70,7.38,2.00,1.45,1.78,1.60,3.22,1.14,4.00,1.07,,,1.94,0,1.23,1.64,1.59,2.41,6.92,1.50,2.77,6.22,1.69,1.68,1.61,19.00,34.50,3.77,6.90,15.55,21.70,22.10,13.30,1841
