Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-04-10,22:00:00,AVKL,1,Real Betis,-,Jagiellonia Bialystok,-,1.11,5.70,9.86,2.34,1.33,1.78,1.61,3.70,1.10,4.91,,,,2.18,0,1.18,1.84,1.44,2.71,8.28,1.37,3.09,7.58,1.70,1.69,1.45,22.00,35.00,3.86,8.59,21.05,21.80,26.00,18.00,1845
2025-04-10,22:00:00,AVKL,1,Celje,-,Fiorentina,-,6.02,4.28,1.28,2.02,1.45,1.65,1.74,3.23,1.14,4.10,1.06,1.80,,,1.57,1.26,0,5.90,2.36,1.70,5.28,2.72,1.60,1.71,1.68,10.75,19.20,21.35,13.20,6.55,4.00,35.00,16.80,1.79,1845
2025-04-10,22:00:00,AVKL,1,Djurgarden,-,Rapid Wien,-,2.59,2.90,2.22,1.64,1.75,1.56,1.85,2.59,1.26,3.12,1.16,1.21,1.10,1.14,1.18,1.41,1.13,3.18,1.96,2.81,2.84,2.29,2.53,1.78,1.62,4.28,12.85,28.00,6.23,4.41,5.54,31.00,12.65,3.56,1845
2025-04-10,19:45:00,AVKL,1,Legia Warszawa,-,Chelsea,-,5.02,3.87,1.38,1.91,1.51,1.61,1.78,3.05,1.17,3.81,1.09,1.66,,,1.47,1.29,0,5.21,2.24,1.84,4.63,2.60,1.72,1.72,1.67,8.89,17.40,21.75,11.15,5.93,4.13,35.00,15.50,1.97,1845
2025-03-13,23:00:00,AVKL,1,Chelsea,1-0,FC Copenhagen,0-0,1.31,3.96,5.69,1.83,1.56,1.72,1.65,2.96,1.17,3.59,1.10,,,1.72,0,1.29,1.50,1.77,2.23,5.78,1.65,2.56,5.11,1.71,1.66,1.85,16.20,34.50,3.92,5.82,12.15,22.10,18.50,10.15,1841
2025-03-13,23:00:00,AVKL,1,Fiorentina,3-1,Panathinaikos,2-0,1.29,3.98,6.24,1.84,1.55,1.74,1.63,2.99,1.17,3.62,1.09,,,1.77,0,1.27,1.54,1.71,2.27,6.14,1.63,2.57,5.40,1.72,1.65,1.78,16.25,34.50,3.94,5.83,13.20,23.00,18.85,11.25,1841
2025-03-13,23:00:00,AVKL,1,Legia Warszawa,1-0,Molde,1-0,1.51,3.67,4.00,2.12,1.39,1.43,2.06,3.26,1.14,4.39,,,,1.52,0,1.28,1.40,1.95,2.27,4.27,1.83,2.63,3.82,1.72,1.65,2.16,13.60,34.50,4.46,5.95,9.41,20.25,14.85,6.78,1841
2025-03-13,23:00:00,AVKL,1,Vitoria Guimaraes,0-4,Real Betis,0-2,2.84,2.81,2.08,1.55,1.85,1.62,1.75,2.46,1.28,2.90,1.19,1.23,1.10,1.09,1.19,1.43,1.09,3.45,1.91,2.68,3.05,2.22,2.43,1.78,1.60,4.74,12.95,28.00,6.53,4.13,5.17,34.50,12.50,3.29,1841
2025-03-13,20:45:00,AVKL,1,Cercle Brugge,2-0,Jagiellonia Bialystok,1-0,1.78,3.26,3.12,1.86,1.53,1.46,1.99,2.90,1.18,3.73,1.09,1.07,1.06,1.35,1.08,1.34,1.27,2.30,2.09,3.62,2.12,2.46,3.23,1.73,1.64,2.70,12.85,33.00,4.81,5.13,7.40,23.00,13.60,5.23,1841
2025-03-13,20:45:00,AVKL,1,Djurgarden,3-0,Paphos,1-0,2.41,2.93,2.31,1.57,1.81,1.61,1.76,2.47,1.28,2.92,1.18,1.18,1.09,1.16,1.15,1.43,1.14,3.06,1.91,2.97,2.72,2.26,2.64,1.74,1.63,3.96,13.25,29.50,5.69,4.31,5.52,30.50,13.15,3.76,1841
