Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-01-30,23:00:00,AVL,1,Ajax,-,Galatasaray,-,2.22,3.51,2.21,2.56,1.25,1.23,2.65,3.71,1.09,5.63,,1.20,,1.20,1.20,1.27,1.20,2.64,2.32,2.63,2.45,2.70,2.44,1.72,1.65,3.40,12.30,22.10,6.18,6.25,6.15,22.55,12.30,3.38,1835
2025-01-30,23:00:00,AVL,1,Anderlecht,-,Hoffenheim,-,1.95,3.14,2.80,1.97,1.47,1.39,2.14,3.04,1.16,4.04,1.06,1.10,1.07,1.28,1.11,1.33,1.24,2.43,2.13,3.26,2.26,2.47,2.94,1.75,1.62,2.97,12.00,29.00,5.29,5.10,6.96,23.40,12.50,4.55,1835
2025-01-30,23:00:00,AVL,1,AS Roma,-,Eintracht Frankfurt,-,1.51,3.33,4.42,1.85,1.54,1.54,1.86,2.97,1.17,3.73,1.09,,,1.51,0,1.30,1.40,1.95,2.17,4.64,1.86,2.47,4.07,1.76,1.61,2.16,12.95,34.50,4.45,5.14,9.98,22.55,14.55,7.65,1835
2025-01-30,23:00:00,AVL,1,Athletic Bilbao,-,Viktoria Plzen,-,1.54,2.98,4.91,1.47,1.97,1.87,1.53,2.43,1.29,2.68,1.23,,1.07,1.49,0,1.39,1.36,2.05,1.95,5.33,1.95,2.20,4.56,1.78,1.59,2.23,13.80,34.50,4.22,4.14,10.20,28.00,15.90,8.81,1835
2025-01-30,23:00:00,AVL,1,Sporting Braga,-,Lazio,-,1.51,3.47,4.24,1.86,1.54,1.55,1.85,2.95,1.18,3.70,1.09,,,1.52,0,1.31,1.38,1.98,2.16,4.57,1.86,2.49,4.03,1.73,1.64,2.18,13.65,34.50,4.34,5.33,9.54,22.10,15.20,7.36,1835
2025-01-30,23:00:00,AVL,1,Dynamo Kiev,-,Rigas Skola,-,1.59,3.37,3.79,1.86,1.54,1.51,1.90,2.91,1.18,3.69,1.09,,,1.45,0,1.33,1.34,2.08,2.13,4.20,1.94,2.48,3.72,1.73,1.64,2.34,13.25,34.50,4.47,5.22,8.66,22.10,14.55,6.50,1835
2025-01-30,23:00:00,AVL,1,FCSB,-,Manchester United,-,4.78,3.60,1.43,1.85,1.55,1.60,1.78,2.96,1.17,3.66,1.09,1.59,,,1.43,1.30,0,5.00,2.19,1.88,4.40,2.51,1.78,1.72,1.65,8.38,16.10,22.10,10.55,5.45,4.19,34.50,14.25,2.03,1835
2025-01-30,23:00:00,AVL,1,Ferencvaros,-,AZ Alkmaar,-,2.17,2.98,2.56,1.60,1.78,1.59,1.79,2.51,1.27,3.00,1.17,1.14,1.09,1.21,1.12,1.42,1.16,2.81,1.93,3.20,2.51,2.28,2.84,1.73,1.64,3.49,13.15,31.00,5.27,4.41,5.98,28.00,13.35,4.22,1835
2025-01-30,23:00:00,AVL,1,Lyon,-,Ludogorets Razgrad,-,1.09,6.00,10.20,2.35,1.31,1.80,1.58,3.70,1.09,4.92,,,,2.22,0,1.16,1.86,1.42,2.72,8.53,1.35,3.13,7.89,1.67,1.69,1.41,23.40,34.50,3.74,8.89,21.50,21.40,27.50,18.50,1835
2025-01-30,23:00:00,AVL,1,Maccabi Tel Aviv,-,Porto,-,6.47,4.45,1.23,2.06,1.43,1.65,1.72,3.29,1.13,4.19,1.05,1.86,,,1.59,1.23,0,6.20,2.40,1.64,5.56,2.76,1.55,1.70,1.67,11.50,19.80,20.95,14.00,6.75,3.91,34.50,17.30,1.69,1835
