Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-04-07,22:00:00,İSP,1,Leganes,-,Osasuna,-,2.38,2.80,2.47,1.43,2.07,1.77,1.63,2.26,1.36,2.54,1.27,1.16,1.12,1.17,1.13,1.49,1.14,3.12,1.82,3.21,2.75,2.16,2.82,1.76,1.63,3.99,13.75,34.50,5.51,3.95,5.66,33.50,13.85,4.15,1844
2025-04-06,22:00:00,İSP,1,Villareal,-,Athletic Bilbao,-,2.02,3.03,2.82,1.72,1.65,1.51,1.91,2.71,1.23,3.37,1.13,1.11,1.09,1.27,1.11,1.39,1.22,2.57,2.02,3.38,2.35,2.36,3.01,1.76,1.63,3.16,12.65,32.00,5.23,4.69,6.75,26.00,13.10,4.71,1844
2025-04-06,19:30:00,İSP,1,Valladolid,-,Getafe,-,4.04,2.82,1.72,1.28,2.48,2.17,1.39,2.05,1.44,2.13,1.41,1.38,1.10,,1.24,1.53,0,5.02,1.74,2.45,4.23,2.05,2.18,1.75,1.64,7.47,17.35,33.50,8.05,3.66,4.12,35.00,15.85,2.74,1844
2025-04-06,17:15:00,İSP,1,Sevilla,-,Atletico Madrid,-,3.08,2.91,1.94,1.45,2.02,1.78,1.61,2.31,1.34,2.60,1.26,1.29,1.10,1.08,1.21,1.47,1.07,3.85,1.85,2.63,3.34,2.19,2.35,1.75,1.64,5.39,14.70,29.50,6.76,4.11,4.73,35.00,14.00,3.12,1844
2025-04-06,15:00:00,İSP,1,Las Palmas,-,Real Sociedad,-,2.85,2.82,2.10,1.41,2.12,1.82,1.58,2.23,1.36,2.47,1.28,1.24,1.11,1.10,1.17,1.50,1.08,3.64,1.80,2.83,3.16,2.15,2.51,1.75,1.64,4.94,14.50,31.50,6.26,3.93,4.95,35.00,14.05,3.44,1844
2025-04-05,22:00:00,İSP,1,Barcelona,-,Real Betis,-,1.27,4.58,5.71,2.45,1.29,1.47,2.00,3.75,1.09,5.22,,,,1.82,0,1.22,1.60,1.65,2.53,5.46,1.57,2.91,4.99,1.71,1.68,1.74,16.45,35.00,4.19,7.54,13.35,19.15,18.45,9.90,1844
2025-04-05,19:30:00,İSP,1,Mallorca,-,Celta Vigo,-,2.34,2.68,2.61,1.38,2.17,1.81,1.58,2.20,1.37,2.43,1.30,1.14,1.13,1.18,1.11,1.50,1.14,3.07,1.79,3.36,2.73,2.10,2.95,1.79,1.61,3.90,13.55,35.00,5.42,3.74,5.89,34.50,13.75,4.43,1844
2025-04-05,17:15:00,İSP,1,Real Madrid,-,Valencia,-,1.14,5.43,8.64,2.43,1.30,1.66,1.72,3.80,1.09,5.15,,,,2.10,0,1.18,1.80,1.48,2.69,7.43,1.41,3.07,6.80,1.70,1.69,1.50,20.35,35.00,3.95,8.46,18.95,20.70,23.75,15.50,1844
2025-04-05,15:00:00,İSP,1,Girona,-,Deportivo Alaves,-,1.79,2.99,3.48,1.50,1.94,1.76,1.63,2.38,1.31,2.72,1.23,1.05,1.08,1.36,1.06,1.44,1.25,2.41,1.90,4.18,2.18,2.24,3.62,1.75,1.64,2.79,13.95,35.00,4.52,4.27,7.57,27.50,14.95,6.13,1844
2025-04-04,22:00:00,İSP,1,Rayo Vallecano,0-4,Espanyol,0-2,1.48,3.19,5.18,1.39,2.16,2.12,1.41,2.28,1.35,2.42,1.30,,1.06,1.56,0,1.43,1.36,2.06,1.90,5.88,1.90,2.18,5.02,1.73,1.65,2.21,16.60,35.00,3.89,4.23,10.35,30.00,18.80,9.64,1844
2025-03-31,22:00:00,İSP,1,Celta Vigo,1-1,Las Palmas,1-0,1.42,3.60,5.06,1.72,1.67,1.73,1.65,2.78,1.21,3.29,1.14,,,1.62,0,1.33,1.43,1.90,2.13,5.36,1.78,2.46,4.69,1.72,1.65,2.05,15.30,35.00,4.09,5.28,10.85,23.75,17.35,9.11,1843
2025-03-30,22:00:00,İSP,1,Real Betis,2-1,Sevilla,2-1,1.62,3.07,4.18,1.47,1.99,1.86,1.55,2.38,1.31,2.65,1.24,,1.07,1.45,0,1.43,1.30,2.21,1.92,4.84,2.02,2.23,4.17,1.75,1.64,2.46,14.60,35.00,4.23,4.29,8.80,27.50,16.20,7.55,1843
