Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-04-13,21:45:00,FRA1,1,Auxerre,-,Lyon,-,2.98,3.28,1.84,2.08,1.43,1.37,2.20,3.18,1.15,4.31,1.06,1.33,1.06,1.08,1.28,1.32,1.11,3.41,2.18,2.32,3.08,2.54,2.16,1.75,1.64,4.92,13.00,22.45,7.46,5.46,5.18,30.50,12.40,2.79,1845
2025-04-13,18:15:00,FRA1,1,Angers,-,Montpellier,-,1.71,3.23,3.47,1.71,1.67,1.59,1.81,2.69,1.23,3.28,1.14,1.05,1.06,1.39,1.06,1.37,1.29,2.27,2.03,4.03,2.08,2.39,3.55,1.73,1.65,2.61,13.65,35.00,4.58,4.89,7.88,24.20,14.65,6.01,1845
2025-04-13,18:15:00,FRA1,1,Le Havre,-,Rennes,-,3.13,3.06,1.87,1.65,1.73,1.59,1.81,2.61,1.25,3.16,1.15,1.32,1.08,1.07,1.25,1.40,1.08,3.73,1.99,2.44,3.28,2.33,2.23,1.75,1.64,5.36,13.90,26.00,7.22,4.62,4.85,35.00,13.15,2.90,1845
2025-04-13,16:00:00,FRA1,1,Saint-Etienne,-,Brest,-,2.99,3.24,1.86,1.88,1.54,1.46,2.02,2.92,1.19,3.77,1.09,1.32,1.06,1.08,1.26,1.36,1.10,3.50,2.09,2.38,3.13,2.46,2.19,1.74,1.65,5.01,13.50,23.30,7.22,5.16,5.02,32.00,12.90,2.86,1845
2025-04-12,22:05:00,FRA1,1,RC Strasbourg,-,Nice,-,2.30,3.06,2.38,1.79,1.61,1.48,1.98,2.78,1.21,3.52,1.12,1.17,1.08,1.19,1.16,1.38,1.17,2.86,2.03,2.94,2.59,2.39,2.66,1.75,1.64,3.70,12.70,27.50,5.81,4.82,5.97,27.50,12.75,3.85,1845
2025-04-12,20:00:00,FRA1,1,Toulouse,-,Lille,-,2.55,2.90,2.24,1.51,1.91,1.68,1.71,2.39,1.31,2.77,1.21,1.21,1.10,1.14,1.16,1.45,1.12,3.26,1.87,2.92,2.87,2.23,2.60,1.75,1.64,4.29,13.75,30.50,5.91,4.22,5.36,33.00,13.55,3.68,1845
2025-04-12,18:00:00,FRA1,1,Monaco,-,Marsilya,-,1.80,3.46,2.96,2.22,1.37,1.34,2.30,3.34,1.14,4.67,,1.09,1.05,1.35,1.11,1.30,1.29,2.28,2.24,3.38,2.11,2.61,3.06,1.73,1.65,2.72,12.70,29.50,5.15,5.86,7.50,21.30,13.35,4.85,1845
2025-04-11,21:45:00,FRA1,1,Lens,-,Reims,-,1.37,3.75,5.41,1.80,1.60,1.71,1.67,2.90,1.20,3.50,1.12,,,1.68,0,1.30,1.48,1.82,2.20,5.57,1.72,2.52,4.89,1.72,1.66,1.95,15.60,35.00,4.07,5.57,11.70,23.30,17.80,9.72,1845
2025-04-06,21:45:00,FRA1,1,Marsilya,3-2,Toulouse,1-1,1.52,3.55,4.09,1.91,1.51,1.52,1.90,3.01,1.18,3.84,1.08,,,1.51,0,1.32,1.38,2.01,2.18,4.44,1.87,2.53,3.94,1.73,1.65,2.24,13.95,35.00,4.42,5.55,9.37,21.90,15.35,7.10,1844
2025-04-06,18:15:00,FRA1,1,Montpellier,0-2,Le Havre,0-2,2.19,3.04,2.52,1.74,1.65,1.50,1.94,2.73,1.22,3.41,1.13,1.15,1.08,1.21,1.14,1.39,1.19,2.76,2.02,3.09,2.50,2.37,2.77,1.75,1.64,3.51,12.75,29.50,5.56,4.74,6.18,27.00,13.00,4.13,1844
