Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-03-31,20:00:00,TÜR S,1,Eyüpspor,-,Başakşehir,-,2.65,2.83,2.22,1.52,1.90,1.65,1.73,2.42,1.30,2.82,1.21,1.21,1.11,1.13,1.17,1.44,1.12,3.30,1.89,2.86,2.93,2.22,2.57,1.78,1.62,4.44,13.30,30.00,6.17,4.15,5.39,34.00,13.00,3.60,1843
2025-03-29,20:30:00,TÜR S,1,Beşiktaş,2-1,Galatasaray,1-1,2.82,3.21,1.94,2.08,1.43,1.36,2.24,3.18,1.15,4.34,1.05,1.29,1.07,1.11,1.26,1.32,1.13,3.25,2.18,2.40,2.95,2.53,2.24,1.76,1.63,4.60,12.60,22.90,7.17,5.36,5.41,29.00,12.10,2.96,1843
2025-03-29,16:00:00,TÜR S,1,Samsunspor,0-2,Kasımpaşa,0-0,1.80,3.15,3.21,1.75,1.64,1.53,1.89,2.75,1.22,3.42,1.13,1.06,1.07,1.35,1.08,1.37,1.27,2.35,2.04,3.75,2.16,2.39,3.32,1.75,1.64,2.71,13.00,35.00,4.84,4.87,7.52,24.20,13.80,5.48,1843
2025-03-29,16:00:00,TÜR S,1,Trabzonspor,1-1,Göztepe,1-1,1.91,3.07,3.02,1.73,1.65,1.53,1.90,2.73,1.22,3.38,1.13,1.08,1.08,1.30,1.09,1.38,1.24,2.46,2.02,3.56,2.25,2.37,3.17,1.76,1.63,2.96,12.75,34.00,5.02,4.74,7.13,25.00,13.40,5.10,1843
2025-03-29,13:30:00,TÜR S,1,Sivasspor,5-1,Adana Demirspor,2-1,1.10,5.35,8.57,,,1.62,1.66,,,,,,,2.16,0,1.17,1.83,1.42,2.66,7.37,1.36,3.03,6.79,1.65,1.65,0,0,0,0,0,0,0,0,0,1843
2025-03-28,20:30:00,TÜR S,1,Bodrumspor,2-4,Fenerbahçe,1-4,6.71,4.24,1.26,1.90,1.52,1.76,1.63,3.09,1.16,3.78,1.09,1.84,,,1.58,1.27,0,6.48,2.33,1.67,5.73,2.66,1.58,1.72,1.67,12.20,20.20,22.90,14.25,6.27,3.92,35.00,17.40,1.73,1843
2025-03-28,20:30:00,TÜR S,1,Konyaspor,1-0,Gaziantep FK,0-0,2.02,2.97,2.86,1.66,1.72,1.56,1.86,2.63,1.25,3.20,1.15,1.10,1.09,1.27,1.10,1.40,1.21,2.59,1.98,3.44,2.36,2.32,3.05,1.77,1.63,3.18,12.70,33.50,5.18,4.53,6.76,26.50,13.20,4.80,1843
2025-03-28,16:00:00,TÜR S,1,Antalyaspor,2-1,Alanyaspor,1-1,2.19,2.87,2.66,1.50,1.93,1.68,1.70,2.38,1.31,2.75,1.22,1.13,1.11,1.21,1.11,1.45,1.17,2.86,1.87,3.34,2.55,2.22,2.95,1.76,1.63,3.57,13.35,34.50,5.28,4.16,6.12,30.50,13.65,4.48,1843
2025-03-28,16:00:00,TÜR S,1,Kayserispor,5-0,Hatayspor,2-0,1.35,4.14,5.01,2.35,1.32,1.43,2.06,3.61,1.11,5.00,,,,1.70,0,1.24,1.52,1.75,2.45,4.96,1.66,2.81,4.49,1.72,1.66,1.88,14.90,35.00,4.34,6.87,11.80,19.50,16.70,8.62,1843
2025-03-16,20:30:00,TÜR S,1,Fenerbahçe,0-0,Samsunspor,0-0,1.24,4.26,6.69,1.88,1.52,1.77,1.60,3.05,1.16,3.71,1.09,,,1.84,0,1.26,1.58,1.66,2.31,6.48,1.58,2.64,5.75,1.70,1.66,1.71,17.50,34.50,3.83,6.21,14.05,22.55,20.25,12.05,1841
2025-03-16,16:00:00,TÜR S,1,Göztepe,1-1,Eyüpspor,0-0,1.52,3.33,4.31,1.69,1.68,1.65,1.71,2.71,1.22,3.24,1.14,,,1.51,0,1.35,1.37,2.03,2.07,4.73,1.89,2.39,4.14,1.73,1.64,2.23,14.00,34.50,4.23,4.92,9.41,23.85,15.55,7.58,1841
2025-03-16,16:00:00,TÜR S,1,Hatayspor,3-2,Sivasspor,1-1,2.63,2.94,2.14,1.72,1.65,1.50,1.93,2.70,1.23,3.35,1.12,1.22,1.09,1.12,1.19,1.38,1.12,3.17,2.00,2.69,2.84,2.33,2.45,1.77,1.61,4.29,12.50,26.50,6.35,4.53,5.45,30.00,12.20,3.37,1841
2025-03-16,13:30:00,TÜR S,1,Çaykur Rizespor,0-2,Bodrumspor,0-1,1.81,2.82,3.54,1.56,1.83,1.65,1.72,2.51,1.27,2.94,1.18,,1.09,1.33,1.05,1.40,1.26,2.34,1.94,4.05,2.19,2.22,3.54,1.79,1.58,2.73,12.25,34.50,4.78,4.13,7.92,27.00,13.30,6.09,1841
2025-03-15,20:30:00,TÜR S,1,Başakşehir,0-3,Trabzonspor,0-1,2.01,2.94,2.85,1.73,1.64,1.49,1.93,2.73,1.22,3.40,1.12,1.09,1.09,1.26,1.10,1.37,1.22,2.53,2.01,3.37,2.34,2.34,3.01,1.78,1.60,3.11,12.00,31.50,5.24,4.55,6.83,25.50,12.55,4.70,1841
2025-03-15,20:30:00,TÜR S,1,Konyaspor,1-0,Beşiktaş,1-0,3.05,2.98,1.91,1.64,1.73,1.58,1.80,2.59,1.25,3.12,1.16,1.30,1.09,1.08,1.23,1.39,1.08,3.63,1.97,2.48,3.20,2.30,2.26,1.75,1.62,5.14,13.40,26.00,6.99,4.47,4.88,34.50,12.75,2.95,1841
2025-03-15,16:00:00,TÜR S,1,Kasımpaşa,2-1,Alanyaspor,2-1,1.68,3.14,3.66,1.70,1.67,1.58,1.79,2.70,1.23,3.27,1.13,,1.07,1.40,1.05,1.37,1.30,2.20,2.03,4.15,2.04,2.36,3.64,1.75,1.62,2.51,13.00,34.50,4.54,4.71,8.21,24.30,14.20,6.31,1841
2025-03-15,13:30:00,TÜR S,1,Gaziantep FK,1-0,Kayserispor,0-0,2.09,3.00,2.64,1.83,1.56,1.44,2.04,2.85,1.19,3.68,1.09,1.13,1.09,1.22,1.14,1.36,1.19,2.66,2.06,3.07,2.44,2.39,2.77,1.77,1.60,3.36,11.90,28.50,5.61,4.72,6.41,25.50,12.15,4.15,1841
