Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-01-27,22:45:00,İTA A,1,Genoa,-,Monza,-,1.96,2.68,3.27,1.36,2.21,1.86,1.53,2.17,1.37,2.37,1.30,1.06,1.12,1.27,1.05,1.50,1.19,2.63,1.79,4.03,2.38,2.07,3.49,1.79,1.59,3.11,13.35,34.50,4.72,3.65,6.98,31.50,14.25,5.71,1834
2025-01-27,20:30:00,İTA A,1,Venezia,-,Hellas Verona,-,2.00,2.95,2.86,1.67,1.70,1.54,1.86,2.63,1.23,3.22,1.14,1.09,1.09,1.26,1.09,1.39,1.21,2.56,1.98,3.42,2.35,2.31,3.05,1.76,1.61,3.11,12.40,33.00,5.13,4.47,6.72,26.00,12.95,4.76,1834
2025-01-26,22:45:00,İTA A,1,Lazio,1-2,Fiorentina,0-2,1.83,3.05,3.17,1.75,1.62,1.51,1.91,2.77,1.21,3.46,1.11,1.06,1.08,1.32,1.08,1.37,1.26,2.35,2.04,3.67,2.18,2.37,3.26,1.76,1.61,2.78,12.35,34.50,4.90,4.72,7.43,24.30,13.15,5.33,1834
2025-01-26,20:00:00,İTA A,1,Lecce,0-4,Inter,0-2,7.57,4.60,1.19,1.88,1.52,1.87,1.53,3.07,1.16,3.71,1.09,1.95,,,1.64,1.24,0,7.23,2.36,1.59,6.47,2.71,1.51,1.69,1.68,13.95,22.55,23.00,15.75,6.61,3.70,34.50,19.50,1.61,1834
2025-01-26,17:00:00,İTA A,1,Udinese,1-2,AS Roma,1-0,2.67,2.86,2.16,1.54,1.86,1.63,1.74,2.44,1.29,2.86,1.19,1.22,1.09,1.12,1.17,1.43,1.11,3.32,1.90,2.78,2.93,2.23,2.50,1.76,1.61,4.44,13.20,29.00,6.16,4.18,5.24,33.00,12.85,3.45,1834
2025-01-26,14:30:00,İTA A,1,AC Milan,3-2,Parma,1-1,1.13,5.66,8.05,2.79,1.21,1.51,1.90,4.19,1.05,6.08,,,,2.10,0,1.16,1.80,1.46,2.80,6.86,1.39,3.21,6.40,1.68,1.68,1.47,19.75,34.50,4.02,9.24,18.35,18.65,22.55,14.00,1834
2025-01-25,22:45:00,İTA A,1,Empoli,1-1,Bologna,1-1,3.51,2.82,1.82,1.39,2.14,1.86,1.53,2.22,1.36,2.44,1.29,1.33,1.09,,1.23,1.47,0,4.27,1.81,2.48,3.68,2.13,2.24,1.76,1.62,6.19,14.95,30.00,7.38,3.86,4.45,34.50,13.90,2.85,1834
2025-01-25,20:00:00,İTA A,1,Napoli,2-1,Juventus,0-1,2.23,2.55,2.88,1.37,2.20,1.80,1.58,2.19,1.37,2.41,1.30,1.09,1.14,1.20,1.09,1.50,1.16,2.89,1.79,3.57,2.62,2.05,3.14,1.81,1.57,3.58,12.60,34.50,5.27,3.52,6.40,33.50,13.00,4.86,1834
2025-01-25,17:00:00,İTA A,1,Como,1-2,Atalanta,1-0,3.55,3.20,1.68,1.81,1.58,1.51,1.91,2.85,1.19,3.60,1.10,1.40,1.06,,1.31,1.34,1.06,3.99,2.09,2.18,3.53,2.42,2.03,1.75,1.62,6.05,13.80,23.00,8.20,4.96,4.65,34.50,12.70,2.50,1834
2025-01-24,22:45:00,İTA A,1,Torino,2-0,Cagliari,1-0,2.00,2.72,3.12,1.44,2.04,1.75,1.62,2.29,1.33,2.58,1.25,1.07,1.11,1.26,1.07,1.46,1.20,2.63,1.84,3.80,2.39,2.14,3.32,1.79,1.59,3.14,12.85,34.50,4.89,3.83,6.87,30.00,13.60,5.34,1834
2025-01-20,22:45:00,İTA A,1,Como,4-1,Udinese,2-0,1.87,2.93,3.19,1.58,1.80,1.63,1.74,2.51,1.27,2.96,1.17,1.06,1.09,1.30,1.07,1.41,1.23,2.45,1.93,3.80,2.24,2.26,3.33,1.76,1.61,2.89,12.80,34.50,4.79,4.30,7.19,26.50,13.60,5.45,1833
2025-01-19,22:45:00,İTA A,1,Inter,3-1,Empoli,0-0,1.15,4.98,8.75,1.96,1.48,1.91,1.51,3.19,1.14,3.91,1.07,,,2.05,0,1.22,1.71,1.53,2.45,7.92,1.44,2.80,7.11,1.69,1.68,1.54,20.80,34.50,3.69,7.08,17.90,23.00,24.30,16.10,1833
