Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-01-27,20:00:00,TÜR 1,1,Sakaryaspor,-,Manisa FK,-,2.10,3.03,2.62,1.64,1.73,1.57,1.81,2.56,1.25,3.09,1.16,1.13,1.08,1.23,1.11,1.41,1.18,2.72,1.94,3.26,2.45,2.31,2.89,1.73,1.64,3.36,13.10,31.00,5.18,4.52,6.12,27.00,13.40,4.34,1834
2025-01-26,19:00:00,TÜR 1,1,Kocaelispor,-,Pendikspor,-,1.73,3.12,3.44,1.57,1.82,1.68,1.68,2.49,1.27,2.91,1.18,,1.07,1.37,1.05,1.41,1.26,2.34,1.93,4.10,2.12,2.29,3.57,1.72,1.65,2.67,13.85,34.50,4.43,4.49,7.52,25.50,14.85,5.99,1834
2025-01-26,16:00:00,TÜR 1,1,Fatih Karagümrük,-,Çorum FK,-,1.60,3.26,3.89,1.61,1.77,1.70,1.67,2.56,1.25,3.01,1.16,,1.05,1.44,0,1.38,1.31,2.16,1.99,4.48,1.98,2.34,3.90,1.72,1.65,2.40,14.25,34.50,4.23,4.72,8.41,24.70,15.55,6.85,1834
2025-01-26,13:30:00,TÜR 1,1,MKE Ankaragücü,-,BB Erzurumspor,-,1.68,2.99,3.88,1.60,1.78,1.65,1.72,2.57,1.25,3.04,1.16,,1.08,1.40,0,1.38,1.30,2.20,1.99,4.36,2.06,2.28,3.80,1.77,1.60,2.50,12.85,34.50,4.52,4.39,8.53,25.50,14.15,6.76,1834
2025-01-26,13:30:00,TÜR 1,1,Bandırmaspor,-,Keçiörengücü,-,1.83,3.02,3.22,1.65,1.72,1.58,1.79,2.60,1.24,3.13,1.15,1.06,1.08,1.32,1.07,1.39,1.25,2.39,1.98,3.79,2.19,2.31,3.34,1.75,1.62,2.80,12.85,34.50,4.75,4.51,7.32,25.00,13.65,5.48,1834
2025-01-25,19:00:00,TÜR 1,1,Adanaspor,0-0,Iğdır Futbol Kulübü,0-0,2.97,2.94,1.96,1.40,2.10,1.84,1.55,2.21,1.36,2.45,1.29,1.28,1.09,1.09,1.18,1.49,1.07,3.82,1.79,2.70,3.28,2.16,2.37,1.72,1.65,5.19,15.20,30.00,6.33,4.03,4.57,34.50,14.55,3.17,1834
2025-01-25,16:00:00,TÜR 1,1,İstanbulspor,1-0,Amed Sportif,0-0,1.92,3.04,2.97,1.54,1.86,1.67,1.69,2.43,1.29,2.83,1.20,1.09,1.08,1.29,1.08,1.43,1.21,2.56,1.90,3.68,2.29,2.27,3.21,1.72,1.65,3.03,13.70,34.50,4.71,4.38,6.61,27.00,14.35,5.08,1834
2025-01-25,13:30:00,TÜR 1,1,Boluspor,0-2,Gençlerbirliği,0-0,2.15,2.84,2.69,1.49,1.93,1.69,1.68,2.35,1.31,2.71,1.22,1.11,1.10,1.22,1.10,1.45,1.16,2.82,1.86,3.39,2.52,2.20,2.98,1.75,1.62,3.47,13.15,34.50,5.14,4.07,6.11,30.00,13.50,4.52,1834
2025-01-25,13:30:00,TÜR 1,1,Yeni Malatyaspor,0-1,Esenler Erokspor,0-1,14.90,8.52,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1834
2025-01-24,20:00:00,TÜR 1,1,Ümraniyespor,1-0,Şanlıurfaspor,1-0,1.58,3.33,3.97,1.76,1.62,1.58,1.79,2.79,1.21,3.43,1.11,,1.05,1.47,0,1.34,1.35,2.07,2.08,4.41,1.93,2.42,3.88,1.73,1.64,2.32,13.60,34.50,4.36,5.03,8.89,23.00,14.90,6.91,1834
2025-01-20,20:00:00,TÜR 1,1,Gençlerbirliği,1-0,Kocaelispor,1-0,3.16,2.88,1.91,1.46,1.99,1.75,1.62,2.32,1.32,2.63,1.23,1.30,1.09,1.07,1.21,1.45,1.06,3.88,1.86,2.56,3.37,2.18,2.30,1.75,1.62,5.46,14.25,28.50,6.88,4.05,4.68,34.50,13.50,3.01,1833
2025-01-19,19:00:00,TÜR 1,1,Manisa FK,0-1,İstanbulspor,0-0,2.21,3.13,2.40,1.98,1.46,1.37,2.17,3.04,1.16,4.07,1.06,1.16,1.07,1.20,1.16,1.33,1.19,2.70,2.12,2.89,2.48,2.48,2.63,1.75,1.62,3.46,12.10,26.00,5.80,5.11,6.17,24.70,12.20,3.80,1833
2025-01-19,16:00:00,TÜR 1,1,Pendikspor,4-0,Yeni Malatyaspor,0-0,,13.45,24.50,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833
2025-01-19,13:30:00,TÜR 1,1,Iğdır Futbol Kulübü,0-1,Boluspor,0-0,1.48,3.46,4.52,1.58,1.80,1.81,1.58,2.54,1.26,2.90,1.18,,,1.55,0,1.37,1.36,2.03,2.00,5.09,1.86,2.35,4.44,1.70,1.66,2.19,15.60,34.50,3.96,4.88,9.46,24.70,17.35,8.10,1833
2025-01-19,13:30:00,TÜR 1,1,Keçiörengücü,2-3,Sakaryaspor,1-2,2.00,3.02,2.80,1.66,1.70,1.55,1.85,2.62,1.24,3.19,1.15,1.10,1.08,1.26,1.10,1.39,1.21,2.58,1.97,3.40,2.35,2.33,3.02,1.74,1.63,3.13,12.80,32.50,5.07,4.55,6.56,26.00,13.25,4.68,1833
2025-01-18,19:00:00,TÜR 1,1,Çorum FK,3-1,Ümraniyespor,1-0,1.72,3.12,3.48,1.65,1.72,1.61,1.76,2.56,1.25,3.13,1.15,,1.07,1.37,1.05,1.39,1.27,2.32,1.97,4.03,2.06,2.36,3.60,1.73,1.64,2.65,13.70,34.50,4.39,4.63,7.78,25.50,14.25,5.92,1833
2025-01-18,16:00:00,TÜR 1,1,Amed Sportif,1-1,Fatih Karagümrük,0-1,1.93,2.89,3.07,1.55,1.84,1.64,1.73,2.47,1.28,2.90,1.19,1.07,1.09,1.28,1.08,1.42,1.22,2.53,1.92,3.69,2.31,2.24,3.25,1.76,1.61,3.02,12.75,34.50,4.88,4.22,6.94,27.50,13.50,5.22,1833
2025-01-18,16:00:00,TÜR 1,1,Esenler Erokspor,1-0,Adanaspor,0-0,1.58,3.32,3.97,1.71,1.66,1.62,1.75,2.71,1.22,3.29,1.13,,1.05,1.46,0,1.35,1.34,2.09,2.06,4.45,1.94,2.40,3.90,1.72,1.64,2.33,13.80,34.50,4.31,4.94,8.76,23.40,15.20,6.93,1833
2025-01-18,13:30:00,TÜR 1,1,BB Erzurumspor,2-0,Bandırmaspor,0-0,2.07,2.84,2.83,1.44,2.04,1.77,1.61,2.27,1.34,2.55,1.26,1.09,1.10,1.23,1.09,1.47,1.17,2.77,1.82,3.59,2.47,2.16,3.12,1.74,1.63,3.35,13.65,34.50,4.89,3.96,6.23,30.50,14.15,4.84,1833
2025-01-17,20:00:00,TÜR 1,1,Şanlıurfaspor,0-1,MKE Ankaragücü,0-0,3.39,3.18,1.73,1.71,1.65,1.57,1.82,2.70,1.23,3.31,1.13,1.37,1.06,,1.28,1.37,1.06,3.93,2.02,2.28,3.47,2.38,2.09,1.73,1.64,5.79,14.15,23.85,7.68,4.81,4.59,34.50,13.20,2.62,1833
2025-01-13,20:00:00,TÜR 1,1,Manisa FK,0-3,Ümraniyespor,0-3,1.81,3.17,3.11,1.77,1.60,1.51,1.91,2.71,1.22,3.48,1.11,1.07,1.06,1.33,1.08,1.37,1.25,2.39,2.02,3.64,2.13,2.42,3.26,1.73,1.64,2.79,13.25,34.50,4.67,4.88,7.23,24.70,13.65,5.16,1832
2025-01-13,17:00:00,TÜR 1,1,Çorum FK,3-1,İstanbulspor,1-0,2.28,2.86,2.50,1.60,1.78,1.58,1.81,2.49,1.27,3.04,1.16,1.15,1.09,1.19,1.13,1.42,1.16,2.90,1.92,3.12,2.57,2.28,2.77,1.76,1.61,3.66,12.75,31.50,5.46,4.28,5.90,30.00,12.85,4.09,1832
2025-01-12,19:00:00,TÜR 1,1,Gençlerbirliği,3-0,Yeni Malatyaspor,1-0,,12.15,21.90,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832
2025-01-12,16:00:00,TÜR 1,1,Amed Sportif,1-0,MKE Ankaragücü,0-0,2.29,3.00,2.38,1.53,1.87,1.66,1.70,2.35,1.31,2.79,1.21,1.16,1.09,1.18,1.13,1.45,1.14,3.04,1.86,3.12,2.63,2.27,2.71,1.72,1.65,3.79,14.10,32.00,5.27,4.35,5.43,31.00,14.15,3.96,1832
2025-01-12,16:00:00,TÜR 1,1,Boluspor,3-1,Adanaspor,2-0,1.51,3.30,4.47,1.56,1.83,1.79,1.58,2.45,1.28,2.89,1.19,,,1.52,0,1.39,1.33,2.10,1.95,4.97,1.86,2.35,4.45,1.72,1.65,2.27,15.50,34.50,3.88,4.68,9.46,26.00,16.40,7.85,1832
2025-01-12,13:30:00,TÜR 1,1,BB Erzurumspor,0-1,Şanlıurfaspor,0-0,1.47,3.23,5.00,1.42,2.07,2.04,1.44,2.25,1.35,2.49,1.27,,1.05,1.55,0,1.44,1.33,2.11,1.86,5.61,1.84,2.26,4.98,1.72,1.65,2.24,16.90,34.50,3.66,4.32,10.05,29.00,18.00,9.02,1832
2025-01-12,13:30:00,TÜR 1,1,Keçiörengücü,0-1,Kocaelispor,0-1,2.99,3.08,1.89,1.71,1.66,1.53,1.86,2.63,1.24,3.32,1.13,1.30,1.07,1.08,1.23,1.39,1.09,3.56,1.98,2.49,3.18,2.38,2.21,1.73,1.64,4.98,13.50,25.50,6.93,4.68,4.77,34.50,13.15,2.94,1832
2025-01-11,16:00:00,TÜR 1,1,Esenler Erokspor,1-1,Sakaryaspor,1-0,2.89,2.85,2.03,1.63,1.74,1.55,1.84,2.54,1.26,3.14,1.15,1.25,1.09,1.09,1.20,1.41,1.09,3.44,1.94,2.62,3.07,2.29,2.35,1.78,1.60,4.76,12.75,28.00,6.72,4.30,5.07,34.50,12.45,3.18,1832
2025-01-11,13:30:00,TÜR 1,1,Iğdır Futbol Kulübü,0-1,Fatih Karagümrük,0-0,2.15,2.95,2.60,1.62,1.75,1.57,1.82,2.51,1.27,3.09,1.16,1.13,1.09,1.22,1.11,1.42,1.17,2.78,1.93,3.23,2.47,2.31,2.86,1.74,1.63,3.44,13.05,32.50,5.21,4.42,6.06,28.50,13.25,4.28,1832
2025-01-10,20:00:00,TÜR 1,1,Pendikspor,1-1,Bandırmaspor,1-0,2.11,2.98,2.64,1.54,1.85,1.65,1.72,2.39,1.30,2.84,1.19,1.12,1.09,1.23,1.10,1.44,1.16,2.80,1.87,3.36,2.45,2.28,2.94,1.72,1.65,3.41,13.80,34.50,4.96,4.34,5.98,29.50,13.95,4.43,1832
2025-01-06,20:00:00,TÜR 1,1,Sakaryaspor,0-0,Gençlerbirliği,0-0,2.11,2.78,2.81,1.44,2.01,1.73,1.64,2.26,1.34,2.61,1.24,1.10,1.10,1.23,1.09,1.47,1.16,2.82,1.82,3.54,2.47,2.18,3.09,1.76,1.62,3.42,13.50,34.50,4.93,3.94,6.22,31.00,13.75,4.75,1831
2025-01-05,19:00:00,TÜR 1,1,Adanaspor,0-0,Amed Sportif,0-0,3.17,2.88,1.90,1.44,2.04,1.79,1.58,2.23,1.35,2.55,1.26,1.30,1.09,1.07,1.20,1.48,1.06,3.93,1.81,2.62,3.42,2.19,2.28,1.73,1.64,5.47,14.70,30.00,6.78,4.02,4.47,34.50,14.25,3.04,1831
2025-01-05,16:00:00,TÜR 1,1,İstanbulspor,4-0,Esenler Erokspor,1-0,1.59,3.59,3.54,1.95,1.48,1.47,1.97,2.93,1.18,3.94,1.07,,,1.45,1.06,1.33,1.32,2.14,2.12,3.98,1.90,2.59,3.64,1.70,1.67,2.39,14.55,34.50,4.29,5.66,8.27,22.10,14.90,5.90,1831
2025-01-05,13:30:00,TÜR 1,1,Bandırmaspor,2-3,Manisa FK,0-3,1.74,3.12,3.40,1.63,1.74,1.62,1.75,2.52,1.26,3.08,1.16,,1.07,1.37,1.06,1.40,1.26,2.35,1.95,3.98,2.08,2.35,3.54,1.73,1.64,2.70,13.85,34.50,4.40,4.61,7.57,25.50,14.35,5.79,1831
2025-01-05,13:30:00,TÜR 1,1,Ümraniyespor,0-0,BB Erzurumspor,0-0,2.42,3.05,2.23,1.54,1.86,1.66,1.71,2.37,1.30,2.82,1.20,1.20,1.08,1.16,1.15,1.44,1.12,3.18,1.86,2.97,2.76,2.28,2.57,1.71,1.66,4.04,14.30,30.50,5.50,4.42,5.14,32.50,14.25,3.67,1831
2025-01-04,19:00:00,TÜR 1,1,Fatih Karagümrük,0-2,Pendikspor,0-2,1.77,3.21,3.19,1.76,1.61,1.52,1.88,2.70,1.23,3.46,1.11,1.06,1.06,1.36,1.08,1.37,1.26,2.35,2.01,3.74,2.09,2.43,3.35,1.72,1.65,2.72,13.55,34.50,4.55,4.94,7.38,24.30,13.95,5.34,1831
2025-01-04,16:00:00,TÜR 1,1,MKE Ankaragücü,2-0,Keçiörengücü,1-0,1.52,3.53,4.04,1.82,1.57,1.57,1.82,2.79,1.21,3.60,1.10,,,1.51,0,1.34,1.35,2.07,2.09,4.43,1.83,2.53,4.03,1.71,1.66,2.26,14.80,34.50,4.09,5.38,9.11,23.00,15.40,6.85,1831
2025-01-04,13:30:00,TÜR 1,1,Şanlıurfaspor,0-0,Çorum FK,0-0,2.62,3.03,2.10,1.53,1.86,1.66,1.70,2.36,1.30,2.81,1.20,1.23,1.08,1.13,1.16,1.44,1.10,3.36,1.86,2.83,2.92,2.28,2.45,1.71,1.65,4.40,14.30,29.50,5.87,4.38,4.90,34.50,14.15,3.43,1831
2025-01-03,20:00:00,TÜR 1,1,Kocaelispor,3-0,Iğdır Futbol Kulübü,2-0,1.58,3.25,4.06,1.51,1.90,1.81,1.57,2.36,1.30,2.75,1.22,,1.05,1.47,0,1.42,1.30,2.22,1.90,4.71,1.93,2.32,4.17,1.71,1.66,2.43,15.60,34.50,3.91,4.55,8.54,26.50,16.35,7.13,1831
